8.33333e-13, 0.0109262, 2.71783e-08, 0.00248686
1.66667e-12, 0.0432273, 1.36614e-07, 0.0134595
2.5e-12, 0.0954915, 3.50304e-07, 0.037531
3.33333e-12, 0.165435, 6.4967e-07, 0.0754189
4.16667e-12, 0.25, 1.01234e-06, 0.125589
5e-12, 0.345492, 1.42272e-06, 0.185451
5.83333e-12, 0.447736, 1.87051e-06, 0.252082
6.66667e-12, 0.552264, 2.34601e-06, 0.322549
7.5e-12, 0.654508, 2.83705e-06, 0.393973
8.33333e-12, 0.75, 3.32876e-06, 0.463491
9.16667e-12, 0.834565, 3.80542e-06, 0.528245
1e-11, 0.904508, 4.25267e-06, 0.585458
1.08333e-11, 0.956773, 4.65896e-06, 0.632576
1.16667e-11, 0.989074, 5.01545e-06, 0.667448
1.25e-11, 1, 5.3149e-06, 0.6885
1.33333e-11, 1, 5.57704e-06, 0.697353
1.41667e-11, 1, 5.84757e-06, 0.699909
1.5e-11, 1, 6.13603e-06, 0.701442
1.58333e-11, 1, 6.40832e-06, 0.704008
1.66667e-11, 1, 6.62471e-06, 0.707949
1.75e-11, 1, 6.75317e-06, 0.712924
1.83333e-11, 1, 6.77153e-06, 0.718481
1.91667e-11, 1, 6.66691e-06, 0.724253
2e-11, 1, 6.43619e-06, 0.729909
2.08333e-11, 1, 6.0882e-06, 0.735033
2.16667e-11, 1, 5.64629e-06, 0.739029
2.25e-11, 1, 5.14965e-06, 0.741116
2.33333e-11, 1, 4.65209e-06, 0.740437
2.41667e-11, 1, 4.21839e-06, 0.736219
2.5e-11, 1, 3.91859e-06, 0.727977
2.58333e-11, 1, 3.82129e-06, 0.715661
2.66667e-11, 1, 3.98712e-06, 0.699724
2.75e-11, 1, 4.4633e-06, 0.681048
2.83333e-11, 1, 5.28021e-06, 0.660751
2.91667e-11, 1, 6.45056e-06, 0.639933
3e-11, 1, 7.97105e-06, 0.619457
3.08333e-11, 1, 9.82589e-06, 0.599835
3.16667e-11, 1, 1.19911e-05, 0.581258
3.25e-11, 1, 1.44383e-05, 0.563726
3.33333e-11, 1, 1.71377e-05, 0.547196
3.41667e-11, 1, 2.00594e-05, 0.531679
3.5e-11, 1, 2.31744e-05, 0.51727
3.58333e-11, 1, 2.64545e-05, 0.504132
3.66667e-11, 1, 2.98725e-05, 0.492484
3.75e-11, 1, 3.34015e-05, 0.482608
3.83333e-11, 1, 3.70137e-05, 0.47486
3.91667e-11, 1, 4.068e-05, 0.469622
4e-11, 1, 4.43697e-05, 0.467181
4.08333e-11, 1, 4.80524e-05, 0.467557
4.16667e-11, 1, 5.17008e-05, 0.470373
4.25e-11, 1, 5.52941e-05, 0.474838
4.33333e-11, 1, 5.88195e-05, 0.4799
4.41667e-11, 1, 6.2271e-05, 0.484498
4.5e-11, 1, 6.56461e-05, 0.487809
4.58333e-11, 1, 6.89402e-05, 0.489393
4.66667e-11, 1, 7.2142e-05, 0.489167
4.75e-11, 1, 7.52309e-05, 0.487279
4.83333e-11, 1, 7.81778e-05, 0.483954
4.91667e-11, 1, 8.0947e-05, 0.479402
5e-11, 1, 8.34996e-05, 0.473821
